author,published_at,updated_at,like_count,text
@user-qn6db5qz4y,2023-12-15T09:49:45Z,2023-12-15T09:49:45Z,0,ممتاز
@user-vf5qv4uw7y,2023-12-15T09:37:44Z,2023-12-15T09:37:44Z,1,جميل
@user-cy5vz6bo3x,2023-12-15T09:34:11Z,2023-12-15T09:34:11Z,0,.
@citizenjournalist838,2023-12-15T01:02:01Z,2023-12-15T01:02:01Z,0,"<a href=""http://www.youtube.com/results?search_query=%23isro"">#isro</a>"
@MegaBabyjordan23,2023-12-15T00:15:40Z,2023-12-15T00:15:40Z,0,Much cleaner thy kind that breed and perform thy Slave Master&#39;s religious bidding when spellcasted by satanic religious commandments. Much better the new that spread curses like pandemics with the temptations of making satanic religious eternal damned seductress harlots in whom embrace thine phallus.
@PauletteErickson-nj5bu,2023-12-14T21:09:02Z,2023-12-14T21:09:02Z,0,بسم الله الرحمن الرحيم قل هو الله أحد الله الصمد  لم يلد و لم يولد و لم يكن له  كفوا أحد
@user-sq9cc3si8o,2023-12-14T17:32:23Z,2023-12-14T17:32:23Z,0,🎉
@Trumainezz,2023-12-13T05:01:22Z,2023-12-13T05:01:22Z,0,Kinetic energy
@Trumainezz,2023-12-13T05:00:18Z,2023-12-13T05:00:18Z,0,Naming beasts
@billm5555,2023-12-12T23:09:54Z,2023-12-12T23:09:54Z,0,This movie was so much better than I expected
@SuperBoy-ps9dz,2023-12-12T17:32:52Z,2023-12-12T17:32:52Z,0,Black Adam is just like Deadpool + Shazam
@jenniferrowell7351,2023-12-11T03:57:08Z,2023-12-11T03:57:08Z,0,I don&#39;t care what everyone else said<br>This movie is amazing!
@magicpyroninja,2023-12-10T22:07:34Z,2023-12-10T22:07:34Z,0,The Rock&#39;s head on somebody else&#39;s body way too obvious
@JurassicWorld15-js2hb,2023-12-09T21:35:14Z,2023-12-09T21:35:14Z,0,I have not seen this movie  am watching this right now
@user-gu8qq2qj3y,2023-12-07T07:54:50Z,2023-12-07T07:54:50Z,0,Lame.
@SrhKane,2023-12-07T01:29:50Z,2023-12-07T01:30:45Z,0,This is truly the best DC movie ever. Black Adam is one of those movies how I remember the opening day at the theater wearing the Batman shirt to symbolize the movie and the DC logo cover to the movie itself that Batman is part of DC and makes no appearance in the movie.
