Sentence,Sentiment
Saw film good I thought would,0
They & # 39 ; eventually ruin character beyond corny beatdown Shazam cast .,0
"Critics troops Disney action , like BvS . If dont believe , observe Xmen rating critics acquired Disney ( last xmen movie ) .",0
Sad grown men watch,0
Awful,0
Or coukd jesus angela md demon aave heal choose pay Cesar & # 39 ;,0
"Hold ! The Rock & # 39 ; black name & # 39 ; Adam culturally appropriating Adam & # 39 ; black & # 39 ; able get job bring poverty , white men .",0
wan keanu reeves john constantine 😭,0
one worst movies ever fucken watched ! !,0
another stupid movie ...,0
"Damn , I & # 39 ; know rebooting Scorpion King !",0
"It & # 39 ; nice change pace Rock time role grim , villain type character instead usual easygoing traits many movies .",0
evil version shazam,0
More cgi shite ! Give miss,0
This completely dark funny rock jokes .,0
"Quintessa Swindell movie plays female superhero real life , goes & quot ; & quot ; non-binary ....... point , & # 39 ; tired DC embracing seriously disturbed actors ? ? ? Look guy plays Flash . Do really want spend $ $ $ see DC movie ? ? ? ? enough ENOUGH .",0
No cgi ? Awesome ! !,0
movie revibe dc forever 🔥🔥🔥🔥🔥,0
Not interested,0
😒 meh looks lame like type movies,0
Ugh ! ! ! Disappointment .... Not worth,0
Very offensive movie title .,0
ye ye ofc another trash filled cgi Superhero movie made kids . else .. boring .,0
lost kanye west 🤮,0
Wue ds tsnobiario se quw mas fluido jajsjsj,0
"Nice film : ) fastest man movie Black Adam villain shoot gun , drop gun put crown adam gets : ) But still god film",0
Stop .,0
No Dywane Johnsons harmed production movie,0
summary ’ reborn whole lot destroying godly way add explosions high flying brbrsave ur 💰,0
Fake news,0
see rock black adam 🤩 100 satisfaction brwhen see headless cavil superman 😕100 disappointment,0
Heroes Don & # 39 ; kill people ( < href= '' https : //www.youtube.com/watch ? v=X0tOpBuYasI & amp ; t=59 '' > 0:59 < /a > ),0
Such foolish script movie .,0
No pointy ears ?,0
Yah ? What kinda rating get ? Is murders graffic deadly violence ?,0
movie absolutely amazing🔥🔥🔥🔥,0
Trailer bad edited movie looks goos,0
This completely dark funny rock jokes .,0
This movie going SICK,0
Or coukd jesus angela md demon aave heal choose pay Cesar & # 39 ;,0
TRY FOR HUMANITY FOR ONE CREED AND FOR MANKIND TO AVOID MAJOR CLASHES EVER LEAST betterment ? ? ? ? ? ? ? ? ?,0
Was ok. I & # 39 ; bit worried many DC flops failures & # 39 ; stop throwing money away universe . There really good stories .,0
hrefhttpswwwyoutubecomwatchvx0topbuyasiampt60100a heroes don39t kill people well sick👀 hilarious mind blowing brbrwell heard words think black adam might villain shazam fury god vs black adam shazam won39t expect win battle fight black adam well think superman come save shazam 👀👀,0
"If I nickel every time Dwayne Johnson played ancient Egyptian warrior skirting line hero villain , I would two nickels , & # 39 ; lot & # 39 ; weird happened twice .",0
